scaffold	start	end	mid	sites	lnL	cv_lnL
contig0	3	436	219	50	-386.00129	-675.27051
contig0	442	767	609	50	-407.24285	-681.53713
contig0	772	1154	971	50	-411.06547	-859.21179
contig0	1171	1444	1313	50	-411.07580	-693.35334
contig0	1446	1815	1624	50	-429.57864	-886.09613
contig0	1818	2420	2116	50	-438.63649	-989.15569
contig0	2425	2842	2647	50	-442.63530	-878.96771
contig0	2845	3194	3005	50	-462.04384	-1094.86724
contig0	3199	3572	3422	50	-394.31392	-708.00348
contig0	3578	3911	3739	50	-396.08843	-758.78537
contig0	3914	4366	4098	50	-384.73968	-628.33
contig0	4370	4674	4512	50	-399.89952	-730.68602
contig0	4675	5046	4859	50	-403.84854	-818.71102
contig0	5049	5438	5246	50	-489.84666	-1090.25247
contig0	5442	5811	5608	50	-378.32540	-769.02094
contig0	5831	6196	6021	50	-417.46833	-830.1433
contig0	6202	6642	6414	50	-412.24868	-756.71281
contig0	6647	7019	6859	50	-391.23345	-738.16901
contig0	7028	7437	7243	50	-379.98968	-792.66447
contig0	7444	7778	7595	50	-393.54339	-714.0955
contig0	7783	8087	7946	50	-369.89833	-752.82325
contig0	8100	8580	8354	50	-393.86901	-762.44688
contig0	8595	9017	8831	50	-406.91596	-701.57071
contig0	9019	9460	9216	50	-402.39090	-785.37322
contig0	9465	9891	9705	50	-380.21203	-752.65828
contig0	9902	10310	10113	50	-396.25710	-698.53078
contig0	10316	10775	10545	50	-419.00103	-811.55122
contig0	10784	11108	10945	50	-417.58861	-744.83356
contig0	11112	11433	11297	50	-405.32068	-840.8179
contig0	11434	11855	11633	50	-415.60026	-765.79177
contig0	11863	12291	12070	50	-381.38634	-680.54835
contig0	12294	12720	12506	50	-386.96722	-710.54025
contig0	12726	13272	12985	50	-402.61433	-824.33934
contig0	13295	13772	13534	50	-377.33662	-723.65153
contig0	13791	14165	14013	50	-407.40226	-697.10177
contig0	14166	14459	14309	50	-393.47549	-689.39331
contig0	14470	14827	14672	50	-396.50446	-804.68001
contig0	14829	15245	15033	50	-378.73986	-914.01733
contig0	15248	15706	15484	50	-415.23644	-1252.55213
contig0	15712	16144	15889	50	-397.77456	-1035.09046
contig0	16155	16558	16374	50	-375.42350	-721.42216
contig0	16566	16910	16764	50	-386.70637	-768.19009
contig0	16913	17243	17065	50	-384.04508	-667.06263
contig0	17244	17689	17476	50	-395.53384	-871.28583
contig0	17691	18118	17936	50	-403.62414	-1084.55879
contig0	18129	18466	18313	50	-377.48570	-748.89391
contig0	18473	18814	18644	50	-422.53260	-726.5616
contig0	18816	19139	18981	50	-432.69147	-815.40473
contig0	19146	19480	19319	50	-409.89946	-968.98825
contig0	19481	20062	19774	50	-406.34192	-908.43194
contig0	20065	20418	20255	50	-396.86791	-788.05464
contig0	20421	20852	20646	50	-367.97629	-660.45115
contig0	20855	21378	21113	50	-392.69902	-837.04322
contig0	21381	21762	21565	50	-397.86433	-653.85394
contig0	21775	22200	21978	50	-426.39813	-955.70943
contig0	22205	22523	22366	50	-396.84563	-811.42099
